fControllerXRawDampen	Float
fControllerYRaw	Float
fControllerYRawDampen	Float
fDesiredHeading	Float
fFastWalkSpeed	Float
fFlightHorizontalInput	Float
fFlightMaxSpeed	Float
fFlightPitchInput	Float
fFlightRollInput	Float
fFlightThrottleInput	Float
fFlightVerticalInput	Float
fFlightYawInput	Float
fFXgeneric01	Float
fFXgeneric02	Float
fFXgeneric03	Float
fGravityScale	Float
fGunDownToGunUpDuration	Float
fGunUpToGunDownDuration	Float
fHeadingSpeed	Float
fHintVisibility	Float
fHipRelativeMotion	Float
fImpactDist	Float
fInventoryHeading	Float
fMeterCount	Float
fMeterCountPercentage	Float
fPitchSpeed	Float
fPowerIntensity	Float
fProjectilePower	Float
fRandomClipStartTimePercentage	Float
fRingControl	Float
fRingSpeed	Float
fRingSpeedFast	Float
fRingSpeedMedium	Float
fRingSpeedSlow	Float
fRingSpin	Float
fRingSuccessSpeed	Float
fRingTarget	Float
fShipQuadrant	Float
fThrottleDamp	Float
fTurretHeadingMax	Float
fTurretHeadingMin	Float
fTurretPitchMax	Float
fTurretPitchMin	Float
fVariableRangeAperture	Float
fVariableRangeDistance	Float
GripOffset	Float
HasPower	Integer
HeadHeadingMax	Float
HeadHeadingMin	Float
HitReactionTransferVariable	Integer
iAmmoCount	Integer
iAttackState	Integer
iAttackState0	Integer
iAttackState1	Integer
iAttackState2	Integer
iAttackState3	Integer
iAttackState4	Integer
iAttackState5	Integer
iAttackState6	Integer
iAttackState7	Integer
iCriticalHitType	Integer
iIsBlindFiring	Integer
iIsGunDown	Integer
iIsInSneak	Integer
iIsPlayer	Integer
iIsPoseB	Integer
iIsSighted	Integer
iLadderClimbState	Integer
iMagazineCapacity	Integer
iPartialCover	Integer
iPlayerLadderClimbAnimation	Integer
iPlayingSprintAnimation	Integer
iRigIndex	Integer
iRootSwitch	Integer
IsCompletelyStopped	Integer
iSightedRequested	Integer
IsInstantInit	Boolean
IsNotAligned	Integer
IsOn	Integer
iStaggerType	Integer
iState	Integer
IsUsingCodeDrivenRotation	Boolean
iSwitchingPerspectives	Integer
iSyncActions	Integer
iSyncActorStance	Integer
iSyncBleedout	Integer
iSyncCoverStates	Integer
iSyncFullbodyActions	Integer
iSyncGravDash	Integer
iSyncGravity	Integer
iSyncGunActions	Integer
iSyncIdleLocomotion	Integer
iSyncIdleTurnState	Integer
iSyncIdleWalkRun	Integer
iSyncInDialogueScene	Integer
iSyncInjured	Integer
iSyncInventoryCamera	Integer
iSyncJumpState	Integer
iSyncMeleeActions	Integer
iSyncMoveDirection	Integer
iSyncOnGround	Integer
iSyncOpenClose	Integer
iSyncPartialBody	Integer
iSyncPartialBodyBlend	Integer
iSyncPartialBodyState	Integer
iSyncPose	Integer
iSyncPower	Integer
iSyncRelaxedReadyAlert	Integer
iSyncRelaxReadySneak	Integer
iSyncRightLeft	Integer
iSyncSighted	Integer
iSyncSprintState	Integer
iSyncStandingCrouching	Integer
iSyncStateAB	Integer
iSyncStunState	Integer
iSyncSwimState	Integer
iSyncTransitions	Integer
iSyncTurnLeft	Integer
iSyncTurnRight	Integer
iSyncTurnState	Integer
iTurnType	Integer
iWantBlock	Integer
LadderStepDesiredLocation	Vector
LockAlignementToCameraDuringTurnAnimation	Float
LookAtDir	Vector
LookAtHeadingMax	Float
LookAtHeadingMin	Float
LookAtHeadingVar	Float
LookAtLocation	Vector
LookAtPitchMax	Float
LookAtPitchMin	Float
LookAtPitchVar	Float
LookHeading	Float
LookHeadingOffset	Float
MantleEndPos	Vector
MantleHeadingOffset	Float
MantleTogether	Boolean
MeleeAttack_Bite02	Float
NeedPower	Integer
NPCHeading	Float
NPCHeadingOffset	Float
OpenCloseFormState	Float
PairedAnimHash	Integer
PairedHeadingOffset	Float
PairedTranslationOffset	Vector
Pitch	Float
PitchDelta	Float
PitchOffset	Float
PlaybackSpeedMult	Float
PlayPartialBodyStart	Boolean
Position	Float
ReloadSpeedMult	Float
Rotation	Float
RotationSpeed	Float
SetColorA	Integer
SetColorB	Integer
SetStateA	Integer
SetStateB	Integer
ShipPitchDown	Float
ShipPitchUp	Float
ShipRoll	Float
ShipStrafeDown	Float
ShipStrafeLeft	Float
ShipStrafeRight	Float
ShipStrafeUp	Float
ShipYawLeft	Float
ShipYawRight	Float
ShouldUseTurnOnSpotGraph	Boolean
SightedSpeedMult	Float
SightedTransitionSec	Float
Speed	Float
StaggerDirection	Float
StaggerMagnitude	Integer
StartAltIdle	Float
StartsOff	Float
State01Index	Integer
State02Index	Integer
StateA01Index	Integer
StateA02Index	Integer
StateB01Index	Integer
StateB02Index	Integer
SyncJumpBlend	Integer
TurnDelta	Float
TurnDeltaSmoothed	Float
TurnOnSpotEnforceDirectAtLimits	Boolean
UnequipInterruptable	Integer
VehicleAirTime	Float
VehicleForwardVelocity	Float
VehicleIsBoosting	Integer
VehicleIsVertBoosting	Integer
VehicleLateralVelocity	Float
VehicleSpeed	Float
VehicleWheelForwardSlipVelocity	Float
VehicleWheelOnGround	Integer
VehicleZVelocity	Float
VelocityZ	Float
VerticalDirection	Float
WeaponAttackAnimationDuration	Float
WeaponSpeedMult	Float
WeaponSpeedMult1	Float
WeaponSpeedMult2	Float
